频道名称组,频道简称,频道名称,分组,索引号
CCTV1|CCTV-1|CCTV1综合|CCTV-1综合|CCTV综合|CCTV-综合|CCTV1HD|CCTV1-HD|CCTV1高清|CCTV-1高清,CCTV1,CCTV-1综合,央视,1000010
CCTV2|CCTV-2|CCTV2财经|CCTV-2财经|CCTV财经|CCTV-财经|CCTV2HD|CCTV2-HD|CCTV2高清|CCTV-2高清,CCTV2,CCTV-2财经,央视,1000020
CCTV3|CCTV-3|CCTV3综艺|CCTV-3综艺|CCTV综艺|CCTV-综艺|CCTV3HD|CCTV3-HD|CCTV3高清|CCTV-3高清,CCTV3,CCTV-3综艺,央视,1000030
CCTV4|CCTV-4|CCTV4中文国际|CCTV-4中文国际|CCTV中文国际|CCTV-中文国际|CCTV4HD|CCTV4-HD|CCTV4高清|CCTV-4高清,CCTV4,CCTV-4中文国际,央视,1000040
CCTV4欧洲|CCTV-4欧洲|CCTV4中文国际欧洲|CCTV-4中文国际欧洲|CCTV中文国际欧洲|CCTV-中文国际欧洲|CCTV4欧洲HD,CCTV4欧洲,CCTV-4中文国际欧洲,央视,1000041
CCTV4美洲|CCTV-4美洲|CCTV4中文国际美洲|CCTV-4中文国际美洲|CCTV中文国际美洲|CCTV-中文国际美洲|CCTV4美洲HD,CCTV4美洲,CCTV-4中文国际美洲,央视,1000042
CCTV5|CCTV-5|CCTV5体育|CCTV-5体育|CCTV体育|CCTV-体育|CCTV5HD|CCTV5-HD|CCTV5高清|CCTV-5高清,CCTV5,CCTV-5体育,央视,1000050
CCTV5+|CCTV-5+|CCTV5+体育赛事|CCTV-5+体育赛事|CCTV5P|CCTV-体育赛事|CCTV5+HD|CCTV5+-HD|CCTV5+高清|CCTV-5+高清,CCTV5+,CCTV-5+体育赛事,央视,1000051
CCTV6|CCTV-6|CCTV6电影|CCTV-6电影|CCTV电影|CCTV-电影|CCTV6HD|CCTV6-HD|CCTV6高清|CCTV-6高清,CCTV6,CCTV-6电影,央视,1000060
CCTV7|CCTV-7|CCTV7国防军事|CCTV-7国防军事|CCTV国防军事|CCTV-国防军事|CCTV7HD|CCTV7-HD|CCTV7高清|CCTV-7高清,CCTV7,CCTV-7国防军事,央视,1000070
CCTV8|CCTV-8|CCTV8电视剧|CCTV-8电视剧|CCTV电视剧|CCTV-电视剧|CCTV8HD|CCTV8-HD|CCTV8高清|CCTV-8高清,CCTV8,CCTV-8电视剧,央视,1000080
CCTV9|CCTV-9|CCTV9纪录|CCTV-9纪录|CCTV纪录|CCTV-纪录|CCTV9HD|CCTV9-HD|CCTV9高清|CCTV-9高清,CCTV9,CCTV-9纪录,央视,1000090
CCTV10|CCTV-10|CCTV10科教|CCTV-10科教|CCTV科教|CCTV-科教|CCTV10HD|CCTV10-HD|CCTV10高清|CCTV-10高清,CCTV10,CCTV-10科教,央视,1000100
CCTV11|CCTV-11|CCTV11戏曲|CCTV-11戏曲|CCTV戏曲|CCTV-戏曲|CCTV11HD|CCTV11-HD|CCTV11高清|CCTV-11高清,CCTV11,CCTV-11戏曲,央视,1000110
CCTV12|CCTV-12|CCTV12社会与法|CCTV-12社会与法|CCTV社会与法|CCTV-社会与法|CCTV12HD|CCTV12-HD|CCTV12高清|CCTV-12高清,CCTV12,CCTV-12社会与法,央视,1000120
CCTV13|CCTV-13|CCTV13新闻|CCTV-13新闻|CCTV新闻|CCTV-新闻|CCTV13HD|CCTV13-HD|CCTV13高清|CCTV-13高清,CCTV13,CCTV-13新闻,央视,1000130
CCTV14|CCTV-14|CCTV14少儿|CCTV-14少儿|CCTV少儿|CCTV-少儿|CCTV14HD|CCTV14-HD|CCTV14高清|CCTV-14高清,CCTV14,CCTV-14少儿,央视,1000140
