# 2026/05/14 20:35
内蒙古卫视,rtp://239.29.0.2:5000
CCTV2-财经,rtp://239.29.1.8:5001
CCTV3-综艺,rtp://239.29.0.45:5000
CCTV4-国际,rtp://239.29.1.9:5001
CCTV5-体育,rtp://239.29.0.43:5000
CCTV6-电影,rtp://239.29.0.44:5000
CCTV7-军农,rtp://239.29.1.11:5001
CCTV8-电视剧,rtp://239.29.0.46:5000
CCTV9-纪录,rtp://239.29.1.12:5001
ELTV,rtp://239.29.1.113:5000
IPTV3综艺,rtp://239.29.1.18:5001
IPTV6华数电影,rtp://239.29.1.20:5001
IPTV8电视剧,rtp://239.29.1.21:5001
IPTV法制,rtp://239.29.1.22:5001
IPTV野外,rtp://239.29.1.25:5001
XHTV,rtp://239.29.0.187:5000
东乌旗,rtp://239.29.0.180:5000
丰镇电视台,rtp://239.29.1.103:5000
乌拉特中旗,rtp://239.29.0.152:5000
乌拉特前旗,rtp://239.29.0.150:5000
乌拉特后旗,rtp://239.29.0.151:5000
乌盟新闻综合,rtp://239.29.0.22:5000
乌盟生活,rtp://239.29.0.24:5000
乌盟经济生活,rtp://239.29.0.23:5000
五原,rtp://239.29.0.148:5000
伊金霍洛旗综合,rtp://239.29.1.105:5000
克什克腾旗,rtp://239.29.1.110:5000
全纪实,rtp://239.29.0.202:5000
农林卫视,rtp://239.29.0.129:5000
准格尔综合频道,rtp://239.29.0.192:5000
动画,rtp://239.29.1.38:5001
十分屏1,rtp://239.29.1.119:5000
十分屏2,rtp://239.29.1.117:5000
十分屏3,rtp://239.29.1.116:5000
呼伦贝尔文化旅游,rtp://239.29.0.20:5000
呼伦贝尔新闻综合,rtp://239.29.0.19:5000
呼伦贝尔生活资讯,rtp://239.29.0.21:5000
呼市影视娱乐,rtp://239.29.0.37:5000
呼市新闻综合,rtp://239.29.0.35:5000
呼市都市,rtp://239.29.0.36:5000
和林格尔,rtp://239.29.0.183:5000
喀喇沁县,rtp://239.29.1.150:5000
土左旗,rtp://239.29.0.188:5000
地理,rtp://239.29.1.46:5001
墨宝,rtp://239.29.0.140:5000
多伦,rtp://239.29.0.155:5000
太仆寺旗,rtp://239.29.0.154:5000
好学生,rtp://239.29.1.49:5001
察右中旗,rtp://239.29.1.106:5000
巴彦淖尔影视娱乐,rtp://239.29.0.27:5000
巴彦淖尔新闻综合,rtp://239.29.0.25:5000
巴彦淖尔经济生活,rtp://239.29.0.26:5000
库伦电视台,rtp://239.29.1.100:5000
扎兰屯,rtp://239.29.1.109:5000
扎赉特旗,rtp://239.29.0.185:5000
托克托电视台,rtp://239.29.0.146:5000
收视指南,rtp://239.29.1.58:5001
早教,rtp://239.29.1.61:5001
时尚生活,rtp://239.29.0.201:5000
杭后电视台,rtp://239.29.0.149:5000
正蓝旗,rtp://239.29.0.147:5000
正镶白旗,rtp://239.29.0.153:5000
武川,rtp://239.29.0.182:5000
法制天地,rtp://239.29.0.196:5000
满洲里,rtp://239.29.0.34:5000
爱上4K,rtp://239.29.0.169:5000
爱生活,rtp://239.29.1.94:5001
相声小品,rtp://239.29.1.23:5001
磴口,rtp://239.29.0.156:5000
科右中旗,rtp://239.29.0.178:5000
突泉电视台,rtp://239.29.0.174:5000
精选,rtp://239.29.1.77:5001
美人,rtp://239.29.0.136:5000
翁牛特,rtp://239.29.0.186:5000
苏尼特右旗,rtp://239.29.0.191:5000
苏尼特左旗,rtp://239.29.0.190:5000
西乌电视台,rtp://239.29.0.181:5000
谍战剧场,rtp://239.29.1.24:5001
足球,rtp://239.29.0.142:5000
达茂电视台,rtp://239.29.1.101:5000
鄂尔多斯新闻综合,rtp://239.29.0.30:5000
鄂尔多斯生活,rtp://239.29.0.32:5000
鄂尔多斯经济服务,rtp://239.29.0.31:5000
鄂尔多斯蒙语频道,rtp://239.29.0.33:5000
鉴赏,rtp://239.29.0.137:5000
锡林郭勒1,rtp://239.29.0.38:5000
锡林郭勒2,rtp://239.29.0.39:5000
阿右旗,rtp://239.29.0.175:5000
阿尔山电视台,rtp://239.29.1.112:5000
阿巴嘎,rtp://239.29.0.184:5000
音乐现场,rtp://239.29.1.88:5001
额尔古纳,rtp://239.29.1.132:5000
额济纳新闻综合,rtp://239.29.0.177:5000
