# 2026/05/14 20:35
内蒙古卫视,rtp://239.29.0.2:5000
内蒙古农牧频道,rtp://239.29.0.209:5000
内蒙古少儿频道,rtp://239.29.0.207:5000
内蒙古文体娱乐,rtp://239.29.0.211:5000
内蒙古新闻综合,rtp://239.29.0.208:5000
内蒙古经济生活,rtp://239.29.0.212:5000
内蒙古蒙语频道,rtp://239.29.0.210:5000
内蒙古购物,rtp://239.29.0.1:5000
内蒙古频道八分屏,rtp://239.29.1.118:5000
CCTV1,rtp://239.29.0.113:5000
CCTV2,rtp://239.29.0.116:5000
CCTV3,rtp://239.29.1.133:5000
CCTV4,rtp://239.29.0.87:5000
CCTV4欧洲,rtp://239.29.1.144:5000
CCTV4美洲,rtp://239.29.1.142:5000
CCTV5,rtp://239.29.1.134:5000
CCTV5+,rtp://239.29.0.143:5000
CCTV5+,rtp://239.29.1.10:5001
CCTV6,rtp://239.29.1.135:5000
CCTV7,rtp://239.29.0.117:5000
CCTV8,rtp://239.29.1.136:5000
CCTV9,rtp://239.29.0.118:5000
CCTV10,rtp://239.29.0.119:5000
CCTV11,rtp://239.29.0.205:5000
CCTV12,rtp://239.29.0.120:5000
CCTV13,rtp://239.29.1.123:5000
CCTV14,rtp://239.29.0.121:5000
CCTV15,rtp://239.29.0.206:5000
CCTV16,rtp://239.29.1.146:5000
CCTV17,rtp://239.29.1.145:5000
CCTV16SDR,rtp://239.29.1.149:5000
CGTN,rtp://239.29.1.143:5000
CETV1,rtp://239.29.0.95:5000
CETV2,rtp://239.29.0.139:5000
湖南卫视,rtp://239.29.0.90:5000
湖南卫视,rtp://239.29.1.74:5001
浙江卫视,rtp://239.29.0.96:5000
浙江卫视,rtp://239.29.1.70:5001
江苏卫视,rtp://239.29.0.102:5000
江苏卫视,rtp://239.29.1.66:5001
北京卫视,rtp://239.29.0.108:5000
北京卫视,rtp://239.29.1.182:5000
北京卫视,rtp://239.29.1.40:5001
东方卫视,rtp://239.29.0.97:5000
安徽卫视,rtp://239.29.0.81:5000
安徽卫视,rtp://239.29.1.51:5001
广东卫视,rtp://239.29.0.123:5000
广东卫视,rtp://239.29.1.56:5001
深圳卫视,rtp://239.29.0.105:5000
深圳卫视,rtp://239.29.1.71:5001
辽宁卫视,rtp://239.29.0.109:5000
辽宁卫视,rtp://239.29.1.81:5001
山东卫视,rtp://239.29.0.106:5000
山东卫视,rtp://239.29.1.54:5001
天津卫视,rtp://239.29.0.98:5000
天津卫视,rtp://239.29.1.48:5001
重庆卫视,rtp://239.29.0.99:5000
重庆卫视,rtp://239.29.1.83:5001
东南卫视,rtp://239.29.0.103:5000
东南卫视,rtp://239.29.1.27:5001
河北卫视,rtp://239.29.0.124:5000
河北卫视,rtp://239.29.1.68:5001
河南卫视,rtp://239.29.1.69:5001
湖北卫视,rtp://239.29.0.107:5000
湖北卫视,rtp://239.29.1.73:5001
陕西卫视,rtp://239.29.1.86:5001
四川卫视,rtp://239.29.0.100:5000
四川卫视,rtp://239.29.1.45:5001
海南卫视,rtp://239.29.1.126:5000
甘肃卫视,rtp://239.29.1.124:5000
甘肃卫视,rtp://239.29.1.95:5001
广西卫视,rtp://239.29.1.57:5001
贵州卫视,rtp://239.29.0.104:5000
贵州卫视,rtp://239.29.1.80:5001
黑龙江卫视,rtp://239.29.0.91:5000
黑龙江卫视,rtp://239.29.1.91:5001
江西卫视,rtp://239.29.0.125:5000
江西卫视,rtp://239.29.1.67:5001
吉林卫视,rtp://239.29.1.125:5000
吉林卫视,rtp://239.29.1.43:5001
宁夏卫视,rtp://239.29.0.80:5000
宁夏卫视,rtp://239.29.1.50:5001
山西卫视,rtp://239.29.1.55:5001
新疆卫视,rtp://239.29.1.59:5001
云南卫视,rtp://239.29.0.76:5000
云南卫视,rtp://239.29.1.31:5001
青海卫视,rtp://239.29.1.87:5001
西藏卫视,rtp://239.29.1.79:5001
兵团卫视,rtp://239.29.1.34:5001
三沙卫视,rtp://239.29.1.121:5000
延边卫视,rtp://239.29.0.133:5000
山东教育卫视,rtp://239.29.1.96:5001
经典电影,rtp://239.29.1.78:5001
动作影院,rtp://239.29.1.36:5001
喜剧影院,rtp://239.29.1.44:5001
家庭影院,rtp://239.29.1.52:5001
星影,rtp://239.29.1.62:5001
热播剧场,rtp://239.29.1.75:5001
古装剧场,rtp://239.29.1.42:5001
城市剧场,rtp://239.29.1.47:5001
军旅剧场,rtp://239.29.1.35:5001
魅力时尚,rtp://239.29.1.89:5001
少儿动画,rtp://239.29.1.53:5001
欢笑剧场SDR,rtp://239.29.1.114:5000
武侠剧场,rtp://239.29.1.65:5001
纪实科教,rtp://239.29.0.110:5000
卡酷少儿,rtp://239.29.1.41:5001
金鹰纪实,rtp://239.29.0.92:5000
金鹰卡通,rtp://239.29.1.85:5001
东方财经,rtp://239.29.1.29:5001
都市剧场,rtp://239.29.0.198:5000
游戏风云,rtp://239.29.0.197:5000
动漫秀场,rtp://239.29.0.203:5000
欢笑剧场,rtp://239.29.0.200:5000
纪实人文,rtp://239.29.0.101:5000
哈哈炫动,rtp://239.29.0.128:5000
嘉佳卡通,rtp://239.29.0.126:5000
优漫卡通,rtp://239.29.0.127:5000
光影,rtp://239.29.1.32:5001
金色频道,rtp://239.29.0.195:5000
七彩戏剧,rtp://239.29.1.26:5001
极速汽车,rtp://239.29.0.199:5000
包头新闻综合,rtp://239.29.0.111:5000
包头生活服务,rtp://239.29.0.112:5000
包头经济频道,rtp://239.29.0.204:5000
乌海新闻综合,rtp://239.29.0.11:5000
乌海都市生活,rtp://239.29.0.12:5000
赤峰影视娱乐,rtp://239.29.0.15:5000
赤峰新闻综合,rtp://239.29.0.13:5000
赤峰经济服务,rtp://239.29.0.14:5000
通辽城市服务,rtp://239.29.0.42:5000
通辽新闻综合,rtp://239.29.0.41:5000
通辽蒙语频道,rtp://239.29.0.40:5000
兴安影视娱乐,rtp://239.29.0.18:5000
兴安文化旅游,rtp://239.29.0.17:5000
兴安新闻综合,rtp://239.29.0.16:5000
阿拉善新闻综合,rtp://239.29.0.28:5000
阿拉善经济,rtp://239.29.0.29:5000
上海卫视,rtp://239.29.1.28:5001
4K,rtp://239.29.1.131:5000
CCTV1-综合,rtp://239.29.1.1:5001
CCTV10-科教,rtp://239.29.1.2:5001
CCTV11-戏曲,rtp://239.29.1.3:5001
CCTV12-社会与法,rtp://239.29.1.4:5001
CCTV13-新闻,rtp://239.29.1.5:5001
CCTV14-少儿,rtp://239.29.1.6:5001
CCTV15-音乐,rtp://239.29.1.7:5001
