湖北电信-组播1,#genre#
湖南金鹰卡通,http://171.83.43.52:52057/rtp/239.69.1.248:11130
河南梨园频道,http://171.83.43.52:52057/rtp/239.69.1.33:9838
河南武术世界,http://171.83.43.52:52057/rtp/239.69.1.47:9922

武汉教育频道,http://171.83.43.52:52057/rtp/239.69.1.60:9994
武汉文体频道,http://171.83.43.52:52057/rtp/239.69.1.147:10518
武汉新闻综合,http://171.83.43.52:52057/rtp/239.69.1.145:10506
武汉电视剧,http://171.83.43.52:52057/rtp/239.69.1.146:10512
武汉科技生活,http://171.83.43.52:52057/rtp/239.69.1.251:11148
湖北公共新闻,http://171.83.43.52:52057/rtp/239.69.1.40:9880
湖北垄上频道,http://171.83.43.52:52057/rtp/239.69.1.43:9898
湖北影视频道,http://171.83.43.52:52057/rtp/239.69.1.204:10866
湖北教育频道,http://171.83.43.52:52057/rtp/239.69.1.206:10878
湖北生活频道,http://171.83.43.52:52057/rtp/239.69.1.205:10872
湖北经视频道,http://171.83.43.52:52057/rtp/239.69.1.41:9886
湖北综合频道,http://171.83.43.52:52057/rtp/239.69.1.42:9892

BRTV卡酷少儿,http://171.83.43.52:52057/rtp/239.69.1.193:10800
CCTV-世界地理,http://171.83.43.52:52057/rtp/239.69.1.91:10186
CCTV-兵器科技,http://171.83.43.52:52057/rtp/239.69.1.79:10114
CCTV-央视台球,http://171.83.43.52:52057/rtp/239.69.1.98:10224
CCTV-第一剧场,http://171.83.43.52:52057/rtp/239.69.1.74:10084
CCTV-风云足球,http://171.83.43.52:52057/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://171.83.43.52:52057/rtp/239.69.1.83:10138
CGTN记录片,http://171.83.43.52:52057/rtp/239.69.1.233:11040
CHC-动作电影,http://171.83.43.52:52057/rtp/239.69.1.242:11094
CHC-家庭影院,http://171.83.43.52:52057/rtp/239.69.1.243:11100
CHC-影迷电影,http://171.83.43.52:52057/rtp/239.69.1.241:11088
房县综合,http://171.83.43.52:52057/rtp/239.69.1.192:10794
蔡甸综合,http://171.83.43.52:52057/rtp/239.69.1.245:11112
阳新综合,http://171.83.43.52:52057/rtp/239.69.1.34:9844

湖北电信-组播3,#genre#
CCTV怀旧剧场,http://219.140.7.61:8188/rtp/239.69.1.86:10156
CCTV怀旧剧场,http://219.140.7.61:8188/rtp/239.69.1.89:10174
湖南快乐垂钓,http://219.140.7.61:8188/rtp/239.69.1.142:10488
湖南茶频道,http://219.140.7.61:8188/rtp/239.69.1.144:10500
湖南金鹰纪实,http://219.140.7.61:8188/rtp/239.69.1.109:10292
湖南金鹰卡通,http://219.140.7.61:8188/rtp/239.69.1.248:11130
河南梨园频道,http://219.140.7.61:8188/rtp/239.69.1.33:9838
河南武术世界,http://219.140.7.61:8188/rtp/239.69.1.47:9922

武汉教育频道,http://219.140.7.61:8188/rtp/239.69.1.60:9994
武汉文体频道,http://219.140.7.61:8188/rtp/239.69.1.147:10518
武汉新闻综合,http://219.140.7.61:8188/rtp/239.69.1.145:10506
武汉电视剧,http://219.140.7.61:8188/rtp/239.69.1.146:10512
武汉科技生活,http://219.140.7.61:8188/rtp/239.69.1.251:11148
湖北公共新闻,http://219.140.7.61:8188/rtp/239.69.1.40:9880
湖北垄上频道,http://219.140.7.61:8188/rtp/239.69.1.43:9898
湖北影视频道,http://219.140.7.61:8188/rtp/239.69.1.204:10866
湖北教育频道,http://219.140.7.61:8188/rtp/239.69.1.206:10878
湖北生活频道,http://219.140.7.61:8188/rtp/239.69.1.205:10872
湖北经视频道,http://219.140.7.61:8188/rtp/239.69.1.41:9886
湖北综合频道,http://219.140.7.61:8188/rtp/239.69.1.42:9892

BRTV卡酷少儿,http://219.140.7.61:8188/rtp/239.69.1.193:10800
CCTV-世界地理,http://219.140.7.61:8188/rtp/239.69.1.91:10186
CCTV-兵器科技,http://219.140.7.61:8188/rtp/239.69.1.79:10114
CCTV-央视台球,http://219.140.7.61:8188/rtp/239.69.1.98:10224
CCTV-第一剧场,http://219.140.7.61:8188/rtp/239.69.1.74:10084
CCTV-风云足球,http://219.140.7.61:8188/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://219.140.7.61:8188/rtp/239.69.1.83:10138
CGTN记录片,http://219.140.7.61:8188/rtp/239.69.1.233:11040
CHC-动作电影,http://219.140.7.61:8188/rtp/239.69.1.242:11094
CHC-家庭影院,http://219.140.7.61:8188/rtp/239.69.1.243:11100
CHC-影迷电影,http://219.140.7.61:8188/rtp/239.69.1.241:11088
房县综合,http://219.140.7.61:8188/rtp/239.69.1.192:10794
蔡甸综合,http://219.140.7.61:8188/rtp/239.69.1.245:11112
阳新综合,http://219.140.7.61:8188/rtp/239.69.1.34:9844

湖北电信-组播4,#genre#
CCTV怀旧剧场,http://27.18.50.85:18088/rtp/239.69.1.86:10156
CCTV怀旧剧场,http://27.18.50.85:18088/rtp/239.69.1.89:10174
湖南快乐垂钓,http://27.18.50.85:18088/rtp/239.69.1.142:10488
湖南茶频道,http://27.18.50.85:18088/rtp/239.69.1.144:10500
湖南金鹰纪实,http://27.18.50.85:18088/rtp/239.69.1.109:10292
湖南金鹰卡通,http://27.18.50.85:18088/rtp/239.69.1.248:11130
河南梨园频道,http://27.18.50.85:18088/rtp/239.69.1.33:9838
河南武术世界,http://27.18.50.85:18088/rtp/239.69.1.47:9922

武汉教育频道,http://27.18.50.85:18088/rtp/239.69.1.60:9994
武汉文体频道,http://27.18.50.85:18088/rtp/239.69.1.147:10518
武汉新闻综合,http://27.18.50.85:18088/rtp/239.69.1.145:10506
武汉电视剧,http://27.18.50.85:18088/rtp/239.69.1.146:10512
武汉科技生活,http://27.18.50.85:18088/rtp/239.69.1.251:11148
湖北公共新闻,http://27.18.50.85:18088/rtp/239.69.1.40:9880
湖北垄上频道,http://27.18.50.85:18088/rtp/239.69.1.43:9898
湖北影视频道,http://27.18.50.85:18088/rtp/239.69.1.204:10866
湖北教育频道,http://27.18.50.85:18088/rtp/239.69.1.206:10878
湖北生活频道,http://27.18.50.85:18088/rtp/239.69.1.205:10872
湖北经视频道,http://27.18.50.85:18088/rtp/239.69.1.41:9886
湖北综合频道,http://27.18.50.85:18088/rtp/239.69.1.42:9892

BRTV卡酷少儿,http://27.18.50.85:18088/rtp/239.69.1.193:10800
CCTV-世界地理,http://27.18.50.85:18088/rtp/239.69.1.91:10186
CCTV-兵器科技,http://27.18.50.85:18088/rtp/239.69.1.79:10114
CCTV-央视台球,http://27.18.50.85:18088/rtp/239.69.1.98:10224
CCTV-第一剧场,http://27.18.50.85:18088/rtp/239.69.1.74:10084
CCTV-风云足球,http://27.18.50.85:18088/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://27.18.50.85:18088/rtp/239.69.1.83:10138
CGTN记录片,http://27.18.50.85:18088/rtp/239.69.1.233:11040
CHC-动作电影,http://27.18.50.85:18088/rtp/239.69.1.242:11094
CHC-家庭影院,http://27.18.50.85:18088/rtp/239.69.1.243:11100
CHC-影迷电影,http://27.18.50.85:18088/rtp/239.69.1.241:11088
房县综合,http://27.18.50.85:18088/rtp/239.69.1.192:10794
蔡甸综合,http://27.18.50.85:18088/rtp/239.69.1.245:11112
阳新综合,http://27.18.50.85:18088/rtp/239.69.1.34:9844

湖北电信-组播5,#genre#
CCTV怀旧剧场,http://zhangkx717.cn:9999/rtp/239.69.1.86:10156
CCTV怀旧剧场,http://zhangkx717.cn:9999/rtp/239.69.1.89:10174
湖南快乐垂钓,http://zhangkx717.cn:9999/rtp/239.69.1.142:10488
湖南茶频道,http://zhangkx717.cn:9999/rtp/239.69.1.144:10500
湖南金鹰纪实,http://zhangkx717.cn:9999/rtp/239.69.1.109:10292
湖南金鹰卡通,http://zhangkx717.cn:9999/rtp/239.69.1.248:11130
河南梨园频道,http://zhangkx717.cn:9999/rtp/239.69.1.33:9838
河南武术世界,http://zhangkx717.cn:9999/rtp/239.69.1.47:9922

武汉教育频道,http://zhangkx717.cn:9999/rtp/239.69.1.60:9994
武汉文体频道,http://zhangkx717.cn:9999/rtp/239.69.1.147:10518
武汉新闻综合,http://zhangkx717.cn:9999/rtp/239.69.1.145:10506
武汉电视剧,http://zhangkx717.cn:9999/rtp/239.69.1.146:10512
武汉科技生活,http://zhangkx717.cn:9999/rtp/239.69.1.251:11148
湖北公共新闻,http://zhangkx717.cn:9999/rtp/239.69.1.40:9880
湖北垄上频道,http://zhangkx717.cn:9999/rtp/239.69.1.43:9898
湖北影视频道,http://zhangkx717.cn:9999/rtp/239.69.1.204:10866
湖北教育频道,http://zhangkx717.cn:9999/rtp/239.69.1.206:10878
湖北生活频道,http://zhangkx717.cn:9999/rtp/239.69.1.205:10872
湖北经视频道,http://zhangkx717.cn:9999/rtp/239.69.1.41:9886
湖北综合频道,http://zhangkx717.cn:9999/rtp/239.69.1.42:9892

BRTV卡酷少儿,http://zhangkx717.cn:9999/rtp/239.69.1.193:10800
CCTV-世界地理,http://zhangkx717.cn:9999/rtp/239.69.1.91:10186
CCTV-兵器科技,http://zhangkx717.cn:9999/rtp/239.69.1.79:10114
CCTV-央视台球,http://zhangkx717.cn:9999/rtp/239.69.1.98:10224
CCTV-第一剧场,http://zhangkx717.cn:9999/rtp/239.69.1.74:10084
CCTV-风云足球,http://zhangkx717.cn:9999/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://zhangkx717.cn:9999/rtp/239.69.1.83:10138
CGTN记录片,http://zhangkx717.cn:9999/rtp/239.69.1.233:11040
CHC-动作电影,http://zhangkx717.cn:9999/rtp/239.69.1.242:11094
CHC-家庭影院,http://zhangkx717.cn:9999/rtp/239.69.1.243:11100
CHC-影迷电影,http://zhangkx717.cn:9999/rtp/239.69.1.241:11088
房县综合,http://zhangkx717.cn:9999/rtp/239.69.1.192:10794
蔡甸综合,http://zhangkx717.cn:9999/rtp/239.69.1.245:11112
阳新综合,http://zhangkx717.cn:9999/rtp/239.69.1.34:9844
